Species,MINREP (years),AVEREP (years),TYPMORT (years),MAXMORT (years),Specific gravity,Growth rate,Shade tolerance,Volumetric heat (J·cm^-3),Decay resistance,Shade tolerance_NV,Drought tolerance_NV,Waterlogging tolerance_NV,Evergreen,Gymnosperm,MAT.q05_Dendoncker,MAT.q95_Dendoncker
Abies amabilis,20,30,400,590,0.35,3,4,6.83,1,4.21,0.83,1,Y,Y,2.15,9.05
Abies balsamea,15,30,125,150,0.34,4,5,6.42,1,5.01,1,2,Y,Y,0.05,6.65
Abies concolor,30,40,150,500,0.35,3,5,,1,4.33,1.91,1.02,Y,Y,3.55,11.65
Abies fraseri,20,40,125,170,,3,,,1,5,2,2,Y,Y,5.15,11.025
Abies grandis,20,30,200,400,,3,4,7.2,1,4.01,2.33,1.57,Y,Y,4.25,11.45
Abies lasiocarpa,15,25,150,250,0.31,3,5,,1,4.83,2.02,0.97,Y,Y,-1.25,4.65
Abies magnifica,35,45,250,400,0.37,3,3,,1,3.5,0.67,1,Y,Y,2.65,8.15
Abies procera,50,60,400,650,,4,2,,1,2.45,2.5,1,Y,Y,4.25,9.95
Chamaecyparis lawsoniana,8,20,500,,0.4,3,5,,3,3.67,2.06,1.02,Y,Y,7.55,12.45
Chamaecyparis nootkatensis,,,1000,3500,0.42,2,4,,3,4.15,2,1.9,Y,Y,,
Chamaecyparis thyoides,7,20,200,,0.31,2,3,,3,3.5,1,4.04,Y,Y,8.75,19.85
Cupressus arizonica,,,100,300,,2,,,3,1.42,4.47,1.02,Y,Y,,
Juniperus deppeana,,,300,500,0.48,1,,,3,2,5,1,Y,Y,8.65,16.35
Juniperus occidentalis,,,300,900,,2,1,,3,1.67,5,1,Y,Y,3.25,11.15
Juniperus osteosperma,,,650,800,,1,,,3,1.84,4.97,1.02,Y,Y,5.85,14.85
Juniperus scopulorum,10,50,250,300,,2,1,,3,1.48,4.97,1.02,Y,Y,3.25,11.15
Juniperus virginiana,10,25,150,300,0.44,2,1,,3,1.28,4.65,1.19,Y,Y,7.95,20.15
Larix laricina,20,45,150,180,0.49,3,1,9.93,2,0.98,2,3,N,Y,0.45,7.55
Larix occidentalis,25,40,700,915,0.48,2,1,11,2,1.35,2.42,1,N,Y,3.75,8.45
Libocedrus decurrens,,,500,550,0.35,2,4,,3,,,,,,,
Picea engelmannii,16,25,450,550,0.31,2,4,7.28,1,4.53,2.58,1.02,Y,Y,-1.15,6.15
Picea glauca,10,20,150,350,0.37,2,4,6.7,1,4.15,2.88,1.02,Y,Y,-0.55,5.95
Picea mariana,10,18,150,250,0.43,2,4,7.91,1,4.08,2,2,Y,Y,-0.45,5.45
Picea pungens,20,50,150,350,,2,,,1,3.54,2.88,1.02,Y,Y,3.25,13.95
Picea rubens,15,30,200,300,0.41,2,4,7.49,1,4.39,2.5,2,Y,Y,3.25,7.55
Picea sitchensis,20,40,500,800,0.42,4,4,6.58,1,3.85,1.52,1.99,Y,Y,5.55,10.35
Pinus attenuata,5,,100,150,,4,,,,1.5,3,1,Y,Y,7.75,16.75
Pinus banksiana,5,25,80,150,0.46,4,1,8.94,,1.36,4,1,Y,Y,0.95,3.15
Pinus clausa,5,35,60,,0.45,2,2,,,2.21,2.25,2.5,Y,Y,19.25,23.85
Pinus contorta,5,20,120,300,0.43,2,2,8.32,2,1.73,4.04,2.7,Y,Y,-0.45,5.95
Pinus echinata,8,20,200,300,0.54,4,3,,2,1.86,4,1.16,Y,Y,13.25,19.25
Pinus edulis,25,75,350,540,0.57,1,1,,,1.44,4.97,1.02,Y,Y,5.55,13.75
Pinus elliottii,10,20,150,250,0.66,4,2,,2,,,,,,18.05,24.15
Pinus flexilis,10,30,200,400,0.42,2,,,,1.56,4.72,1.02,Y,Y,-1.05,7.75
Pinus glabra,10,,75,150,,4,,,,4.5,2.5,3.09,Y,Y,17.85,20.05
Pinus jeffreyi,8,,400,500,0.42,3,2,,,1.74,4.17,0.95,Y,Y,4.05,13.55
Pinus lambertiana,7,100,400,600,0.38,4,3,,,2.66,2.67,1,Y,Y,5.95,12.95
Pinus monophylla,20,25,150,225,,1,,,,1.17,4.97,1.02,Y,Y,5.45,16.25
Pinus monticola,10,40,400,615,0.42,4,3,7.7,,2.97,2.42,1.02,Y,Y,2.45,10.05
Pinus palustris,16,28,300,400,0.62,4,1,,2,0.87,4.75,2,Y,Y,16.15,21.95
Pinus ponderosa,5,16,600,726,0.42,3,2,9.15,2,1.64,4.32,1.02,Y,Y,4.15,11.85
Pinus radiata,4,20,85,150,,4,3,,,2.97,3,1,Y,Y,11.35,16.55
Pinus resinosa,22,55,200,300,0.51,4,1,8.15,,1.89,3,1,Y,Y,1.95,7.05
Pinus rigida,8,12,100,200,0.52,4,1,,,1.99,4,2,Y,Y,7.65,13.35
Pinus sabiniana,6,,80,150,,3,,,,1,4.5,1,Y,Y,11.25,17.45
Pinus serotina,4,30,,,0.5,2,2,,,1.47,3,3.5,Y,Y,16.05,21.55
Pinus strobus,10,22,200,450,0.37,4,3,7.08,2,3.21,2.29,1.03,Y,Y,3.35,12.05
Pinus taeda,6,15,100,300,0.54,4,2,,2,1.99,4.5,1.08,Y,Y,14.73,19.85
Pinus virginiana,5,50,100,200,,3,,,,1.99,4,1.5,Y,Y,11.35,16.65
Pseudotsuga menziesii,10,25,750,1200,0.51,4,3,10.1,2,2.78,2.62,1.79,Y,Y,3.15,11.25
Sequoia gigantea,20,100,2000,3000,,4,3,,,,,,,,,
Sequoia sempervirens,20,60,1250,2200,0.42,4,5,,3,4.21,2,0.95,Y,Y,10.75,14.85
Taxodium distichum,20,,600,1200,0.42,2,3,,3,2.13,3.25,4.93,N,Y,15.95,21.65
Taxus brevifolia,,,250,350,0.67,2,,,3,4.86,2.5,1,Y,Y,4.95,11.75
Thuja occidentalis,20,30,300,400,0.32,2,4,6.75,,3.45,2.71,1.46,Y,Y,1.65,8.25
Thuja plicata,15,25,1000,1200,0.34,4,5,6.95,,4.73,2.23,1.01,Y,Y,4.55,10.95
Tsuga canadensis,20,50,450,800,0.43,2,5,7.41,1,4.83,1,1.25,Y,Y,4.35,13.15
Tsuga heterophylla,20,30,400,600,0.44,3,5,7.99,1,4.96,1.17,0.95,Y,Y,4.05,10.05
Tsuga mertensiana,20,30,400,800,0.51,3,5,,1,4.48,1,0.95,Y,Y,0.05,6.45
Acer macrophyllum,10,20,150,300,0.44,4,4,,1,4.14,2,2,N,N,8.65,14.65
Acer negundo,,,75,100,,5,,,1,3.47,3.03,2.75,N,N,3.25,17.05
Acer rubrum,4,,80,150,0.49,4,2,9.93,1,3.44,1.84,3.08,N,N,3.05,17.65
Acer saccharinum,20,40,,125,0.44,4,2,8.98,1,3.6,2.88,3.37,N,N,6.95,13.75
Acer saccharum,40,60,300,400,0.56,2,5,12,1,4.76,2.25,1.09,N,N,3.25,12.25
Aesculus glabra,8,,,,,3,3,,1,3.49,2.88,1.27,N,N,7.55,19.05
Aesculus octandra,,,60,80,0.33,4,4,,1,,,,,,,
Alnus rubra,8,10,60,100,0.37,4,2,7.2,1,1.83,2.5,2.56,N,N,7.35,11.35
Arbutus menziesii,5,,,,0.58,2,3,,,3.32,3.83,1,Y,N,9.35,14.65
Betula alleghaniensis,,40,150,300,0.55,4,3,10.8,1,3.17,3,2,N,N,2.65,8.85
Betula lenta,,40,150,250,0.6,3,3,,1,2.58,3,1,N,N,7.55,13.25
Betula papyrifera,15,40,100,140,0.48,4,2,9.68,1,1.54,2.02,1.25,N,N,0.85,6.75
Betula populifolia,8,,50,,0.45,4,,,1,1.5,2.34,1,N,N,5.15,10.75
Carya cordiformis,,30,175,200,0.6,2,2,12.1,1,2.07,4,2.5,N,N,6.55,16.05
Carya glabra,,30,200,300,0.66,2,2,,1,2.69,4,1.16,N,N,9.25,18.85
Carya illinoensis,20,75,300,,0.6,3,2,,1,,,,,,,
Carya laciniosa,40,75,350,,,2,2,,1,4.42,2,1.48,N,N,9.55,17.45
Carya ovata,,40,250,300,0.64,2,2,12.7,1,3.4,3,1.38,N,N,7.55,16.25
Carya tomentosa,,25,200,300,0.64,2,2,,1,2.2,3,1.26,N,N,11.05,18.75
Castanea dentata,,,100,300,0.4,4,,,3,3.06,3,1,N,N,7.85,13.65
Castanopsis chrysophylla,,,200,400,0.42,4,,,,,,,,,,
Catalpa speciosa,10,20,100,,0.38,4,,,3,2.33,4.22,1.27,N,N,9.58,15.25
Celtis laevigata,15,30,,,0.47,3,4,,,3.31,3.56,2.73,N,N,14.95,21.75
Celtis occidentalis,,,150,200,0.49,4,3,,1,3.17,3.85,2.65,N,N,7.35,16.05
Cornus florida,5,,125,,0.64,2,5,,,4.87,2.92,1.1,N,N,10.15,18.85
Cornus nuttallii,,10,125,,0.58,2,,,,4.5,2,1,N,N,7.35,13.55
Diospyros virginiana,10,25,60,80,0.6,2,1,,,4.21,1.5,2.6,N,N,12.55,20.45
Fagus grandifolia,40,60,300,400,0.56,2,5,11.5,1,4.75,1.5,1.5,N,N,3.95,15.95
Fraxinus americana,20,37,260,300,0.55,4,2,10.3,1,2.46,2.38,2.59,N,N,5.25,16.25
Fraxinus latifolia,,,150,250,0.5,3,,,1,3,2,3,N,N,10.35,16.75
Fraxinus nigra,,,,,0.45,2,,9.35,1,2.96,2,3.5,N,N,2.55,8.35
Fraxinus pennsylvanicum,,,,,0.53,4,2,,1,,,,,,,
Fraxinus quadrangulata,,25,200,300,0.53,4,,,1,1.84,2.75,1.53,N,N,9.15,15.45
Gleditsia triacanthos,10,,120,,0.6,4,1,,3,1.61,4.98,2.69,N,N,10.35,18.75
Ilex opaca,5,,100,150,0.5,2,,,,4.28,2.92,1.93,Y,N,10.55,19.75
Juglans cinerea,20,,75,,0.36,4,1,7.2,1,1.88,2.38,1.27,N,N,5.65,13.25
Juglans nigra,8,12,150,250,0.51,4,2,,3,1.93,2.38,1.83,N,N,7.45,16.45
Liquidambar styraciflua,20,30,200,300,0.44,4,2,,1,1.59,2.92,2.69,N,N,11.95,20.05
Liriodendron tulipifera,15,20,200,250,0.38,4,2,,1,2.07,2.6,1.3,N,N,9.25,18.15
Lithocarpus densiflora,30,40,200,300,,3,4,,,,,,,,,
Maclura pomifera,10,,75,100,0.76,3,,,3,1.45,4.22,1.27,N,N,10.55,19.95
Magnolia acuminata,30,,80,250,0.44,4,,,,3.03,1.27,1.52,N,N,7.95,17.35
Magnolia grandiflora,10,20,80,120,0.46,3,4,,1,4.5,2.88,1.41,Y,N,13.45,21.85
Morus rubra,10,,125,,,3,,,3,2.34,2.88,1.57,N,N,9.95,20.35
Nyssa aquatica,5,30,,,0.46,4,2,,1,3.47,1,5,N,N,14.75,20.25
Nyssa sylvatica,,,,,0.46,4,2,,,3.52,2,1.87,N,N,9.75,19.35
Ostrya virginiana,,25,,,0.6,2,,,,4.58,3.25,1.07,N,N,4.25,18.35
Platanus occidentalis,25,50,250,500,0.46,4,2,,1,2.86,2.25,2.71,N,N,9.25,20.15
Populus balsamifera,9,,100,150,0.3,4,2,7.12,1,1.27,1.77,2.63,N,N,0.05,6.65
Populus deltoides,10,,60,100,0.37,5,1,6.95,1,1.76,1.57,3.03,N,N,6.45,19.65
Populus grandidentata,15,30,70,,0.35,4,1,7.53,1,1.21,2.5,2,N,N,3.35,10.85
Populus sargentii,10,,50,90,,4,1,,1,1.5,2,3.48,N,N,,
Populus tremuloides,5,20,70,200,,5,1,7.33,1,1.21,1.77,1.77,N,N,0.65,5.55
Populus trichocarpa,10,,150,250,0.32,4,1,6.42,1,1.27,1.77,1.35,N,N,3.25,11.55
Prunus serotina,10,15,100,250,0.47,4,2,,3,2.46,3.02,1.06,N,N,6.55,16.95
Quercus agrifolia,15,,150,,,2,,,,2,5,1,Y,N,12.75,17.65
Quercus alba,20,50,300,600,0.6,2,3,12.7,3,2.85,3.56,1.43,N,N,7.55,18.35
Quercus bicolor,35,75,300,,0.64,2,3,,,2.98,3.35,2.58,N,N,7.95,13.75
Quercus chrysolepis,,,200,300,0.7,2,,,,2.5,5,1,Y,N,8.45,16.35
Quercus coccinea,20,,50,,0.6,3,2,,,2.07,4,1,N,N,9.55,16.75
Quercus falcata,25,50,200,275,0.52,3,3,,1,2.5,5,1.65,N,N,13.65,19.45
Quercus gambelii,,,90,120,0.62,2,,,3,2.09,4.97,1.27,N,N,4.15,12.45
Quercus garryana,,,,500,0.64,2,,,3,2.4,5,2,N,N,8.95,14.25
Quercus kelloggii,30,,175,300,0.51,2,,,1,1.55,4.33,1,N,N,8.05,15.45
Quercus laurifolia,15,20,,,0.56,3,4,,,3.34,3,2.59,N,N,16.55,22.25
Quercus lobata,,,200,300,,4,,,,3,3,1,N,N,13.15,18.05
Quercus lyrata,25,,300,400,,2,4,,,2.97,1,4.58,N,N,14.65,19.95
Quercus macrocarpa,35,,200,400,0.58,2,3,11.7,3,2.71,3.85,1.82,N,N,3.25,19.05
Quercus marilandica,,,100,,,2,,,1,3,4,1,N,N,12.95,19.95
Quercus michauxii,20,40,100,200,0.6,2,2,,2,,,,,,9.15,19.45
Quercus nigra,20,25,175,,0.56,4,2,,,2.24,3,2.47,N,N,15.65,20.45
Quercus palustris,15,25,100,150,0.58,4,2,,1,2.49,2.38,3.49,N,N,11.85,12.55
Quercus phellos,20,,,,0.56,3,2,,,2,1,2.89,N,N,12.05,19.45
Quercus prinus,20,,300,400,0.57,3,3,,3,2.85,3.5,1,N,N,,
Quercus rubra,25,50,200,400,0.56,4,3,11.3,1,2.75,2.88,1.12,N,N,4.95,14.15
Quercus stellata,25,,250,,0.6,2,2,,3,2.16,4.5,1.5,N,N,12.95,19.65
Quercus velutina,20,40,100,200,0.56,3,3,11.7,1,2.72,3,1.07,N,N,8.05,17.15
Quercus virginiana,,,200,300,0.81,3,,,,2.24,4.5,2.59,Y,N,16.95,23.65
Rhamnus purshiana,5,,40,50,,4,,,,3,3,1,N,N,,
Robinia pseudoacacia,6,15,60,100,0.66,4,2,,3,1.72,4.11,1.07,N,N,8.25,14.45
Salix nigra,10,25,70,85,0.34,4,1,,1,1.34,1.77,4.68,N,N,7.75,20.65
Sassafras albidum,10,25,100,500,0.42,4,1,,3,1.68,5,1.11,N,N,9.15,18.45
Tilia americana,15,,100,140,0.32,4,3,7.04,1,3.98,2.88,1.26,N,N,4.75,13.15
Tilia heterophylla,15,,100,,,3,4,,1,3.77,2,1.12,N,N,,
Ulmus americana,15,40,175,300,0.46,4,3,10.1,1,3.14,2.92,2.46,N,N,4.65,18.95
Ulmus rubra,15,25,200,300,0.48,4,4,10.5,1,3.31,3,1.73,N,N,6.65,18.45
Ulmus thomassi,20,45,250,300,0.57,4,4,13.2,,,,,,,,
